Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building,Length of Lease (Date), Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Organization Mission,Funded by A&C,Funded by 4Culture,"Stability Index (5=very stable, 1=very uncertain)","Control Index (5=very in control, 1 = very out of control) ",Constituency over 50% one race,Specific Demographics and Community,Organization Leadership,Organization Artists,Closed Date,Closed?,Address,Location,Latitude,Longitude
Ophelia's Books,(206) 632-3759,www.opheliasbooks.com,1500,Fremont,N,Literary,1994,R,,2016,1994,0,0,0,N,0,Y,0,Y,N,N,,N,,4,,,,,,,0,3504 Fremont Ave N Seattle WA 98103,"(47.6506373, -122.3496713)",47.6506373,-122.3496713
Rainier Glass Studio,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,3200 Airport Way S Seattle WA 98134,"(47.5756053, -122.3206151)",47.5756053,-122.3206151
Stonington Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,125 S Jackson St Seattle WA 98104,"(47.5989184, -122.3331591)",47.5989184,-122.3331591
Bop Street Records,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-01T00:00:00.000,1,2220 NW Market St Seattle WA 98107,"(47.66909, -122.385796)",47.66909,-122.385796
Seattle Public Library Main,(206) 386-4636,www.spl.org,363000,Downtown,Y,Literary,1905,Other,2004,0,1913,1,1,375,Y,800,Y,140,Y,Y,Y,,Y,,5,,,,,,,0,1000 4th Ave Seattle WA 98104,"(47.6040236, -122.3309956)",47.6040236,-122.3309956
South Park Neighborhood and Senior Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,8201 10th Ave S Seattle WA 98108,"(47.529579, -122.320518)",47.529579,-122.320518
Dynamic Sound Service,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fremont Abbey Arts Center,(206) 414-8325,www.fremontabbey.org,8500,Fremont,Y,Performance,2005,R,1914,2014,2005,1,2,250,Y,1400,Y,0,Y,Y,Y,,Y,,4,,,,,,,0,4272 Fremont Ave N Seattle WA 98103,"(47.6591931, -122.3498604)",47.6591931,-122.3498604
Ghost Gallery,(206) 832-6063,www.ghostgalleryart.com,900,Capitol Hill,N,Visual,2010,R,1926,It's month to month.,2006,1,0,0,Y,800,Y,0,N,N,N,,N,,3,,,,,,,0,504 E Denny Way Seattle WA 98122,"(47.6186813, -122.3249251)",47.6186813,-122.3249251
Spin Cycle,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,321 Broadway Ave East Seattle WA 98102,"(47.621666, -122.321304)",47.621666,-122.321304
57 Biscayne,,www.57biscayne.com,5712,Pioneer Square,N,Visual,2011,R,1890,2026,2011,0,0,0,Y,400,N,0,N,N,N,,N,,3,,,,,,,0,110 Cherry St #200 Seattle WA 98104,"(47.602902, -122.333954)",47.602902,-122.333954
University of Washington Gallagher Law Library,(206) 543-4089,www.lib.law.washington.edu/,68000,University District,Other,Education,2003,O,2003,,1899,3,0,0,Y,500,Y,3,Y,I don't know.,N,,I don't know.,,5,,,,,,,0,"University of Washington Box 353025 Seattle, WA 98195","(47.656206, -122.312972)",47.656206,-122.312972
Broadway Bound Children's Theatre,(206) 526-5437,www.broadwaybound.org,10000,University District,Y,Performance,2002,R,1908,,1996,2,0,0,N,0,Y,101,Y,N,N,,N,,3,,,,,,,0,5031 University Way NE Seattle WA 98105,"(47.6656768, -122.3136491)",47.6656768,-122.3136491
Equinox Studios,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,6555 5th Ave S Seattle WA 98108,"(47.544634, -122.328371)",47.544634,-122.328371
Jazz Night School,(206) 722-6061,http://www.jazznightschool.org,1500,Hillman City,Y,Arts/Cultural Training or Education,2016,R,1950,2026,2008,1,1,35,N,0,Y,,Y,Yes,N,"Jazz Night School uplifts lives by providing an exceptional and supportive environment where people of all ages and abilities come together to learn, perform, and enjoy jazz.",P,,4,4,General,General,N/A,N/A,,0,3916 S Morgan St,"(47.5440673, -122.2824356)",47.5440673,-122.2824356
University of Washington Intellectual House,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,4249 Whitman Court (E Stevens Way and Whitman Court NE),"(47.6581986, -122.3042543)",47.6581986,-122.3042543
Magnuson Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,7110 62nd Ave NE Seattle WA 98115,"(47.680642, -122.26227)",47.680642,-122.26227
NW Work Lofts,,,,,,Live/Work,,,,,,,,,,,,,,,,,,,,,,,,,,0,3131 Western Ave #419 Seattle WA 98121,"(47.618248, -122.35743)",47.618248,-122.35743
Seattle JazzED at MLK Fame Community Center,(206) 324-5299,www.seattlejazzed.org,30000,Madison Valley,Y,Music,1923,R,1915,2016-10-15T00:00:00.000,2010,1,1,200,N,,Y,20,Y,Y,N,,Y,,5,,,,,,,0,3201 E. Republican St Seattle WA 98112,"(47.62294115, -122.2907778)",47.62294115,-122.2907778
Nortthwest Film Forum,(206) 329-2629,www.nwfilmforum.org,8500,Capitol Hill,Y,Cinema,2003,R,1900,2018,1995,2,2,164,N,0,Partial,0,Y,Y,Y,,Y,,4,,,,,,,0,1515 12th Ave Seattle WA 98122,"(47.6144138, -122.317071)",47.6144138,-122.317071
School of Rock,206 417-7625,www.schoolofrock.com,2999,Greenwood,N,Music,2013,R,1965,,1998,1,0,,N,,Y,6,,N,N,,N,,4,,,,,,,0,106 N 85th Seattle WA 98103,"(47.690653, -122.357728)",47.690653,-122.357728
Foster/White Gallery,(206) 622-2833,www.fosterwhite.com,10000,Pioneer Square,N,Visual,2005,O,1904,0,1973,2,0,0,,,Y,0,Y,N,N,,N,,5,,,,,,,0,220 3rd Ave S Seattle WA 98104,"(47.6002759, -122.3299406)",47.6002759,-122.3299406
Seattle Public Library Greenwood,(206) 684-4086,www.spl.org,15000,Greenwood,Y,Literary,1923,Other,2005,2034,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,,5,,,,,,,0,8016 Greenwood Ave N Seattle WA 98103,"(47.68714104, -122.3551792)",47.68714104,-122.3551792
DASSdance Seattle,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,1630 27th Avenue Seattle WA 98122,"(47.616283, -122.297218)",47.616283,-122.297218
Roaring Mouse Creative Arts Studio,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,7526 20th Ave NE Seattle WA 98115,"(47.6839218, -122.3064199)",47.6839218,-122.3064199
University Heights Center,(206) 527-4278,www.uheightscenter.org,55500,University District,N,"Performance, Visual Art, Cinema, Music, Arts/Cultural Advocacy",1990,O,1902,0000,1990,0,1,150,Y,,N,,Y,Yes,Y,"The mission of University Heights Center is to promote life-long learning, creativity, culture, community activism, and the preservation of our historic building, which is a City of Seattle, State of Washington, and national Historic Landmark.",P,"Yes, currently",5,5,General,General,N/A,N/A,,,5031 University Way NE,"(47.665899, -122.313584)",47.665899,-122.313584
911 Media Arts Center,,,,University District,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,909 NE 43rd St #206 Seattle WA 98105,"(47.6593651, -122.3180274)",47.6593651,-122.3180274
Jo Ann Fabrics and Crafts Aurora,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,15236 Aurora Ave N Seattle WA 98133,"(47.739364, -122.345273)",47.739364,-122.345273
Jive Time,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,3506 Fremont Ave N Seattle WA 98103,"(47.65066, -122.34989)",47.65066,-122.34989
Artist Trust,(866) 218-7878,www.artisttrust.org,3500,Capitol Hill,Y,Arts/Cultural Administration or Advocacy,2001,O,2002,0,1987,1,0,0,N,0,Y,4,Y,N,N,,Y,,5,,,,,,,0,1835 12th Ave Seattle WA 98122,"(47.6185686, -122.3172487)",47.6185686,-122.3172487
Pilchuck Glass School Seattle,(206) 621-8422,www.pilchuck.com,2000,Pioneer Square,Y,Arts/Cultural Training or Education,1914,R,1900,2020,1971,3,0,,Y,400,Y,0,Y,Y,Y,,N,,5,,,,,,,0,240 2nd Ave S. Suite 100 Seattle WA 98104,"(47.60051, -122.331586)",47.60051,-122.331586
Cassandria Blackmore Studio,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,1115 East Pike St Seattle WA 98122,"(47.6139358, -122.3174302)",47.6139358,-122.3174302
New York Fashion Academy,(206) 352-2636,www.newyorkfashionacademy.com,10000,Ballard,N,Arts/Cultural Training or Education,2005,O,1905,,1979,2,0,0,Y,1500,Partial,0,Y,Y,N,,N,,3,,,,,,,0,5201 Ballard Ave NW Seattle WA 98107,"(47.66541915, -122.3824426)",47.66541915,-122.3824426
The Chapel Performance Space at Good Shepherd Center,(206) 547-8127,www.historicseattle.org/projects/gsc.aspxâ€Ž,3600,Wallingford,Y,Music,2007,O,1907,0,1974,0,1,150,N,0,Y,100,N,Y,N,,N,,5,,,,,,,0,4649 Sunnyside Ave N 4th floor Seattle WA 98103,"(47.6640977, -122.3310449)",47.6640977,-122.3310449
SIFF Cinema Uptown (see SIFF for answers to survey),,,,,,Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,0,511 Queen Anne Ave N Seattle WA 98109,"(47.623616, -122.356725)",47.623616,-122.356725
Mockingbird Books,,,,,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,7220 Woodlawn Ave NE Seattle WA 98115,"(47.681091, -122.324814)",47.681091,-122.324814
The Lofts at 325,,,,,,Live/Work,,,,,,,,,,,,,,,,,,,,,,,,,,0,325 Westlake Ave N Seattle WA 98109,"(47.621704, -122.33886)",47.621704,-122.33886
Seattle Sound Repair,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,4112 Stone Way N Seattle WA 98103,"(47.65708, -122.342359)",47.65708,-122.342359
St. Clouds,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,1131 34th Ave Seattle WA 98122,"(47.612602, -122.289642)",47.612602,-122.289642
Wa Na Wari,(206) 485-7563,www.wanawari.org,1800,Mann,Y,Visual,2019,R,1951,,2019,0,,,Y,,N,,,Y,N,,Y,,,,,,,,,0,911 24th Ave Seattle WA 98122,"(47.610411, -122.302087)",47.610411,-122.302087
Heartland (CLOSED),,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,1,5306 Roosevelt Way NE Seattle WA 98105,"(47.66739015, -122.3170984)",47.66739015,-122.3170984
Patricia Rovzar Gallery,(206) 223-0273,www.rovzargallery.com,2470,Downtown,N,Visual,2006,R,1910,2016,1992,1,0,0,Y,2470,,0,Y,N,N,,N,,5,,,,,,,0,1225 2nd Ave Seattle WA 98101,"(47.6069251, -122.3372059)",47.6069251,-122.3372059
Winston Wachter Fine Art,(206) 652-5855,www.winstonwachter.com,4500,South Lake Union,N,Visual,1999,O,,,1994,1,0,0,Y,4000,Y,6,Y,N,N,,N,,5,,,,,,,0,203 Dexter Ave N Seattle WA 98109,"(47.61989555, -122.3427626)",47.61989555,-122.3427626
Seattle Public Library Broadview,(206) 684-7519,www.spl.org,15000,Greenwood,Y,Literary,1974,Other,2007,0,1913,0,0,0,N,0,Y,,Y,Y,Y,,Y,,5,,,,,,,0,12755 Greenwood Ave N Seattle WA 98133,"(47.7230197, -122.3562457)",47.7230197,-122.3562457
The Trading Musician,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,5908 Roosevelt Way NE Seattle WA 98105,"(47.67173, -122.317154)",47.67173,-122.317154
Comics Journal / Fantagraphics Books,,,,,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,7563 Lake City Way NE Seattle WA 98115,"(47.684772, -122.315903)",47.684772,-122.315903
Krab Jab Studio,(206) 715-8593,www.krabjabstudio.com,946,Georgetown,N,Visual,2009,R,1893,2014,2011,2,0,0,Y,400,,25,N,Y,N,,N,,4,,,,,,,0,5628 Airport Way South Ste 246 Seattle WA 98108,"(47.5515231, -122.3186879)",47.5515231,-122.3186879
Van Asselt Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,2820 S Myrtle St Seattle WA 98108,"(47.539444, -122.294067)",47.539444,-122.294067
Cornish College of the Arts-Commons,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,2002 9th Ave Seattle WA 98101,"(47.6166738, -122.335888)",47.6166738,-122.335888
Art by Vikram,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,306 S Washington St,"(47.601093, -122.329817)",47.601093,-122.329817
Service League Harborview Medical Center Art Collection,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,325 9th Ave Seattle WA 98104,"(47.604249, -122.323564)",47.604249,-122.323564
Tin Hat,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,512 NW 65th St Seattle WA 98117,"(47.6760806, -122.3629711)",47.6760806,-122.3629711
Lee Center for the Arts,(206) 296-5373,www.seattleu.edu/artsci/departments/fine-arts/venues/lee-center,10000,Capitol Hill,N,Performance,2006,O,1930,0,1890,3,1,180,Y,1500,Y,50,Y,N,Y,,N,,5,,,,,,,0,901 12th Ave Seattle WA 98122,"(47.6106553, -122.3171103)",47.6106553,-122.3171103
Alki Bathhouse Studio,(206) 684-7430,www.seattle.gov/parks/arts/alkiart.htm,1550,West Seattle,Y,Multi-use,1920,O,1920,0,1920,0,0,0,Y,1550,Y,0,Y,Y,Y,,N,,5,,,,,,,0,1702 Alki Ave S.W. Seattle WA 98116,"(47.57968, -122.40967)",47.57968,-122.40967
University of Washington Music Library,(206) 543-1168,www.lib.washington.edu/music,1800,University District,Other,Music,1950,O,1950,,1950,0,0,,N,,Partial,0,N,N,N,,N,,4,,,,,,,0,113 Music Building University of Washington Seattle WA 98195,"(47.657714, -122.305882)",47.657714,-122.305882
Georgetown Arts and Cultural Center,(206) 851-1538,www.georgetownartcenter.org,2500,Georgetown,Y,Visual,2012,R,1904,2017,2007,1,0,0,Y,300,N,20,Y,Y,N,,N,,4,,,,,,,0,5809 Airport Way S Seattle WA 98108,"(47.5504345, -122.3182596)",47.5504345,-122.3182596
Golden Oldies,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,201 NE 45th St Seattle WA 98105,"(47.66116, -122.326927)",47.66116,-122.326927
Project 106,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,106 3rd Ave S,"(47.601378, -122.329965)",47.601378,-122.329965
Mack 9 Music Group,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,212 Alaskan Way S #105A Seattle WA 98104,"(47.60038, -122.335144)",47.60038,-122.335144
Anthony Peters' Tap Dance Seattle,,,,Green Lake,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,6600 1st Ave NE Seattle WA 98115,"(47.6777479, -122.3280274)",47.6777479,-122.3280274
Alki Community Center,,,,Alki,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,5817 SW Stevens St Seattle WA 98116,"(47.577271, -122.407364)",47.577271,-122.407364
Seattle Film Institute,(206) 568-4387,www.seattlefilminstitute.com,10000,Interbay,N,Arts/Cultural Training or Education,2013,O,1974,,1994,3,2,96,N,0,Y,6,Y,Y,N,,N,,5,,,,,,,0,3210 16th Ave W Seattle WA 98119,"(47.64891855, -122.3771253)",47.64891855,-122.3771253
Fiber Gallery,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,8212 Greenwood Avenue North Seattle WA 98103,"(47.68861, -122.355293)",47.68861,-122.355293
Julia's on Broadway,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,300 Broadway East Seattle WA 98102,"(47.621319, -122.320541)",47.621319,-122.320541
Artforte Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,307 Occidental Ave S Seattle WA 98104,"(47.5998538, -122.3331316)",47.5998538,-122.3331316
SOIL,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,112 3rd Ave S,"(47.60119, -122.330463)",47.60119,-122.330463
Aaron Brothers Art & Framing,,,,Downtown,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,1513 3rd Ave Seattle WA 98101,"(47.610031, -122.338524)",47.610031,-122.338524
Push/Pull,,www.pushpullstudio.com,350,Greenwood,Y,Visual,2012,R,1929,2014,2012,0,0,0,Y,350,N,0,N,Y,N,,N,,3,,,,,,,0,,,,
Cornish College of the Arts-Centennial Lab,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,1000 Virginia St Seattle WA 98101,"(47.6174134, -122.3349055)",47.6174134,-122.3349055
Sisko Gallery,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,3126 Elliot Ave Seattle WA 98121,"(47.6183638, -122.3572268)",47.6183638,-122.3572268
Tara Academy of Irish Dance Studio,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,8551 Greenwood Avenue North Suite 4 Seattle WA 98103,"(47.692089, -122.355721)",47.692089,-122.355721
